Platform,Brand,Kategori,Komisi (%),Jumlah Tier,Punya Sample,Berlaku Hingga,SKU Baru,Special Live Price
TikTok Shop,Heasel,Beauty & Health,20,1,,,Tidak,Tidak
TikTok Shop,Oraimo,Tech,18,1,,,Tidak,Tidak
TikTok Shop,Daykit,Home & Living,16,1,,,Tidak,Tidak
TikTok Shop,Hairnerds,Beauty & Health,16,1,,,Tidak,Tidak
TikTok Shop,Whitelab,Beauty & Health,16,1,,,Tidak,Tidak
TikTok Shop,Aerostreet,Beauty & Health,15,1,,,Tidak,Tidak
TikTok Shop,Everwhite,Beauty & Health,15,1,,,Tidak,Tidak
TikTok Shop,Ginza,Beauty & Health,15,1,,,Tidak,Tidak
TikTok Shop,Goute,Beauty & Health,15,1,,,Tidak,Tidak
TikTok Shop,Kakimi,Tech,15,1,,,Tidak,Tidak
TikTok Shop,Laxasmart,Tech,15,1,,,Tidak,Tidak
TikTok Shop,Mistine,Beauty & Health,15,1,,,Tidak,Tidak
TikTok Shop,OMFU,Home & Living,15,1,,,Tidak,Tidak
TikTok Shop,Kojis Body Care,Beauty & Health,13,1,,,Tidak,Tidak
TikTok Shop,Makarizo,Beauty & Health,13,1,,,Tidak,Tidak
TikTok Shop,Monster Audio,Tech,13,1,,,Tidak,Tidak
TikTok Shop,Mystic Eyes Softlens,Beauty & Health,13,2,,,Tidak,Tidak
TikTok Shop,Oilyoung,Beauty & Health,13,1,,,Tidak,Tidak
TikTok Shop,Olay,Beauty & Health,13,1,,,Tidak,Tidak
TikTok Shop,Rose All Day (RAD),Beauty & Health,13,1,,,Tidak,Tidak
TikTok Shop,The Fenery,Beauty & Health,13,2,,,Tidak,Tidak
TikTok Shop,Aerostreet (Shirt),Fashion,12,1,,,Tidak,Tidak
TikTok Shop,AXIS-Y,Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,Bagsmart,Fashion,12,1,Ya,,Tidak,Tidak
TikTok Shop,Brighty,Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,chalonese,Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,Dream Lashes,Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,Emina (Paragon),Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,Erha,Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,G&Z Ladybags,Fashion,12,1,Ya,,Tidak,Tidak
TikTok Shop,Glow Better,Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,Hale,Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,Halo Fashion,Fashion,12,1,Ya,,Tidak,Tidak
TikTok Shop,Heyxi,Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,JIB Indonesia,Home & Living,12,1,,,Tidak,Tidak
TikTok Shop,JJ Glow,Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,Kime,Beauty & Health,12,2,,,Tidak,Tidak
TikTok Shop,Kymm Skin,Beauty & Health,12,2,,,Tidak,Tidak
TikTok Shop,Lash Boss,Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,Les Catino,Fashion,12,1,Ya,,Tidak,Tidak
TikTok Shop,Loreal Hair,Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,Loreal Main(Beauty),Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,Maybelline,Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,Metoo,Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,No Void Minds,Fashion,12,1,,,Tidak,Tidak
TikTok Shop,otwoo,Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,Porto Footwear,Fashion,12,1,Ya,,Tidak,Tidak
TikTok Shop,Premiere Beaute,Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,Raecca,Beauty & Health,12,2,Ya,,Tidak,Tidak
TikTok Shop,Sculpt.id,Fashion,12,1,,,Tidak,Tidak
TikTok Shop,SINDA,Home & Living,12,1,,,Tidak,Tidak
TikTok Shop,Tavi (Paragon),Beauty & Health,12,1,,,Tidak,Tidak
TikTok Shop,The Pods,Tech,12,1,,,Tidak,Tidak
TikTok Shop,Amaterasun,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Anker,Tech,11,1,,,Tidak,Tidak
TikTok Shop,Anua,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Avoskin new list,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Azure Star,Fashion,11,1,Ya,,Tidak,Tidak
TikTok Shop,Betadine,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Case Sultan JRYU,Tech,11,1,,,Tidak,Tidak
TikTok Shop,CimolBojot.AA,Food & FMCG,11,1,,,Tidak,Tidak
TikTok Shop,Dear Me Beauty,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Esqa,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,GREENEY,Fashion,11,1,Ya,,Tidak,Tidak
TikTok Shop,Hanasui,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Harlette,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Harmits Project (Waistbag),Fashion,11,1,,,Tidak,Tidak
TikTok Shop,Harumika,Home & Living,11,1,,,Tidak,Tidak
TikTok Shop,Herbloom,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Illiyoon,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Inbex,Tech,11,1,,,Tidak,Tidak
TikTok Shop,Innisfree,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Iswhite,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,JACK.IDN,Fashion,11,1,Ya,,Tidak,Tidak
TikTok Shop,Jamay,Tech,11,1,,,Tidak,Tidak
TikTok Shop,Kallyoutfit (Fashion Wanita),Fashion,11,1,Ya,,Tidak,Tidak
TikTok Shop,Kojic,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Kuda Laut Biru,Home & Living,11,1,,,Tidak,Tidak
TikTok Shop,LocknLock,Home & Living,11,1,,,Tidak,Tidak
TikTok Shop,LVK (Baju Anak),Fashion,11,1,,,Tidak,Tidak
TikTok Shop,Magister,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Man of The Match,Fashion,11,1,Ya,,Tidak,Tidak
TikTok Shop,Minimalist,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Mise en scene,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,MLAN,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,MLT,Beauty & Health,11,2,,,Tidak,Tidak
TikTok Shop,Nalandu,Fashion,11,1,,,Tidak,Tidak
TikTok Shop,Newlab,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Nurilab,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Onix,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Onlyou,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Ovale,Beauty & Health,11,1,,,Tidak,Tidak
TikTok Shop,Ownerjashujanraf,Fashion,11,1,,,Tidak,Tidak
TikTok Shop,Pigeon Teens,Beauty & Health,11,2,Ya,,Tidak,Tidak
TikTok Shop,Pramy,Beauty & Health,11,1,,,Tidak,Tidak
