Brand,Kategori,Nama Campaign,Tap Link,Komisi (%),Punya Sample (tier ini),Status Link,Berlaku Hingga,Status Kadaluarsa,Logo,SKU Baru,Last Update Sheet
Heasel,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ4196arnaS8,20%,,Aktif,,,,Tidak,
Oraimo,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJbtlQgCZR54,18%,,Aktif,,,,Tidak,
Daykit,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AK3wvI7o6Gvn,16%,,Aktif,,,,Tidak,
Hairnerds,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ1VCVe8c8qF,16%,,Aktif,,,,Tidak,
Whitelab,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg1wdK9zNss,16%,,Aktif,,,,Tidak,
Aerostreet,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AK4PF4CqecZm,15%,,Aktif,,,,Tidak,
Everwhite,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKISmyeHoWPE,15%,,Aktif,,,,Tidak,
Ginza,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AIyzwTrKKHhe,15%,,Aktif,,,,Tidak,
Goute,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKCwXhD4vnQE,15%,,Aktif,,,,Tidak,
Kakimi,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJOF9ijSP3eM,15%,,Aktif,,,,Tidak,
Laxasmart,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJAJf0jbwhdO,15%,,Not Updated,,,,Tidak,
Mistine,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKo3Mc1wUWHo,15%,,Aktif,,,,Tidak,
OMFU,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJbBepqckzXA,15%,,Aktif,,,,Tidak,
Kojis Body Care,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg0lpkFYp9n,13%,,Aktif,,,,Tidak,
Makarizo,Beauty & Health,HDA X Makarizo,https://affiliate-id.tokopedia.com/api/v1/share/AKW1US85fgww,13%,,Updated,,,,Tidak,8 July 2026
Monster Audio,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AIxinDOa9eS9,13%,,Not Updated,,,,Tidak,
Mystic Eyes Softlens,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJUPdmAxqEeF 13%,13%,,Aktif,,,,Tidak,
Mystic Eyes Softlens,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AK1C0fDDCWYN 15%,15%,,Aktif,,,,Tidak,
Oilyoung,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKbyEmbYaP3F,13%,,Aktif,,,,Tidak,
Olay,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg21qSX8MaW,13-15%,,Aktif,,,,Tidak,
Rose All Day (RAD),Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJQQ1eq3J1dJ,13%,,Aktif,,,,Tidak,
The Fenery,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJFWDaKjeNB6,13%,,Aktif,,,,Tidak,
The Fenery,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJuPeYYVlbwo,,,Aktif,,,,Tidak,
Aerostreet (Shirt),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJuKiifU52l2,12%,,Aktif,,,,Tidak,
AXIS-Y,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AK9v475KUXp2,12%,,Aktif,,,,Tidak,
Bagsmart,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKNvhXTSS508,12%,Ya,Aktif,,,,Tidak,
Brighty,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKFVsQS4urh6,12%,,Aktif,,,,Tidak,
chalonese,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJkvNtegtr5E,12%,,Aktif,,,,Tidak,
Dream Lashes,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AIrRCC3qmV5J,12%,,Aktif,,,,Tidak,
Emina (Paragon),Beauty & Health,HDA X EMINA,https://affiliate-id.tokopedia.com/api/v1/share/AJsRrA7L4HX7,12%,,Updated,,,,Tidak,23 July 2026
Erha,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKEXw0WoZJHv,12%,,Aktif,,,,Tidak,
G&Z Ladybags,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJMmi7tYYAMf,12%,Ya,Aktif,,,,Tidak,
Glow Better,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AIzh7UQfTNh5,12%,,Aktif,,,,Tidak,
Hale,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg1kTTesDMB,12%,,Aktif,,,,Tidak,
Halo Fashion,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AIr17zZ4Ge26,12%,Ya,Aktif,,,,Tidak,
Heyxi,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg2aFcIl3b7,12%,,Aktif,,,,Tidak,
JIB Indonesia,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJINLE0oSb5F,12%,,Aktif,,,,Tidak,
JJ Glow,Beauty & Health,BEAUTY SKINCARE X HDA,https://affiliate-id.tokopedia.com/api/v1/share/ALAK4zlXgakB,12%,,Updated,,,,Tidak,27 July 2026
Kime,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKdtEVeVaLcz,12%,,Aktif,,,,Tidak,
Kime,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AKdtEcrfJ6yE,13%,,Aktif,,,,Tidak,
Kymm Skin,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJd9CmEh4ZnN,12%,,Aktif,,,,Tidak,
Kymm Skin,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJ0lkkSK7c91,13%,,Aktif,,,,Tidak,
Lash Boss,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJU7gdrUfmK0,12%,,Aktif,,,,Tidak,
